Group Code; Group Description
Admin;Administration Related
CAT Dump Truck 725;CAT Dump Truck 725 for PM Management
CAT Excavator 345C;Caterpillar Excavator 345C for PM Management
Mustang;Mustang Vehicles for PM Management
Silverado;Silverado Vehicles for PM Management
Snow;Snow Removal Only
Suburban;Suburban Vehicles for PM Management
Xerion;Xerion Vehicles for PM Management
CAT Generators ;CAT Generators for PM Management
CUMMINS Generators;CUMMINS Generators for PM Management
DANLEY Generators;DANLEY Generators for PM Management
DEUTZ Generators;DEUTZ Generators for PM Management
SCANIA Generators;SCANIA Generators for PM Management
Others Generators;Others Generators for PM Management
Tahoe;Tahoe vehicles for PM Management
Tanker Trucks;Tanker Trucks for PM Management
Suburban;Suburban Vehicles for PM Management
CAT Others;CAT Others for PM Management
RAM;RAM Vehicles for PM Management
